2	zcjkguasq321	too much miti kata in hawa	Tue Apr 04 13:03:20 CDT 2017	null	null	null	too much miti kata in hawa
2147	daxtonbrown	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:12:36 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2148	YebraSal	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:12:37 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2149	GolanSh	The genius who brought us the #Chemical weapons deal with #Syria is the same one who made the #NuclearDeal with #Iran. #Obama #Kerry	Tue Apr 04 14:12:39 CDT 2017	null	null	null	The genius who brought us the #Chemical weapons deal with #Syria is the same one who made the #NuclearDeal with #Iran. #Obama #Kerry
2150	SteelBReal	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:12:41 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2151	CycloneGal86	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…	Tue Apr 04 14:12:43 CDT 2017	null	null	null	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…
2152	NANAS_RANT	RT @DropThe_Mic: How bout 2014 #Russia hacked #Obama WH? Remember promise again W/ MORE OF OUR $ 2 make cybersecurity PRIORITY? 🖕LIE… 	Tue Apr 04 14:12:43 CDT 2017	null	null	null	RT @DropThe_Mic: How bout 2014 #Russia hacked #Obama WH? Remember promise again W/ MORE OF OUR $ 2 make cybersecurity PRIORITY? 🖕LIE… 
2153	delta2768	RT @BrianPaulStuart: Had bombings occurred in the U.S. on #Obama's watch, #Trump would've cried, "Weak on terrorism!" He's TOO SCARED to… 	Tue Apr 04 14:12:45 CDT 2017	null	null	null	RT @BrianPaulStuart: Had bombings occurred in the U.S. on #Obama's watch, #Trump would've cried, "Weak on terrorism!" He's TOO SCARED to… 
2154	PoliticalGracie	Let's call it: #RussiaObama #ObamasRussiaGate #RussianObama #RussiasObama #ObamasRussia All work! https://t.co/TvAutBpgGZ	Tue Apr 04 14:12:46 CDT 2017	null	null	null	Let's call it: #RussiaObama #ObamasRussiaGate #RussianObama #RussiasObama #ObamasRussia All work! https://t.co/TvAutBpgGZ
2155	toddand2314	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:12:49 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2156	jameskthompson1	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…	Tue Apr 04 14:12:49 CDT 2017	null	null	null	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…
2157	frauhelga21	RT @DrMartyFox: #Obama Used The Most Powerful Espionage Assets To Spy On A Political Opponent Before During & After An Election https:/…	Tue Apr 04 14:12:50 CDT 2017	null	null	null	RT @DrMartyFox: #Obama Used The Most Powerful Espionage Assets To Spy On A Political Opponent Before During & After An Election https:/…
2158	GingerGingerp4	RT @AJMitch_85: Coincidence ... I think not https://t.co/Cth3zKYdVv	Tue Apr 04 14:12:52 CDT 2017	null	null	null	RT @AJMitch_85: Coincidence ... I think not https://t.co/Cth3zKYdVv
2159	house_cc	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:12:52 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2160	pennyparker0523	RT @EricBoehlert: the latest poll to find Trump's approval at 35%---which is worse than Obama ever had in 8 yrs. https://t.co/7RPHvnXe69	Tue Apr 04 14:12:54 CDT 2017	null	null	null	RT @EricBoehlert: the latest poll to find Trump's approval at 35%---which is worse than Obama ever had in 8 yrs. https://t.co/7RPHvnXe69
2161	NANAS_RANT	RT @DropThe_Mic: In case u were wondering, after CHINA hacked OPM https://t.co/94qZVdtnXh WANNA KNOW AGREEMENT WE MADE? But #Russia… 	Tue Apr 04 14:12:54 CDT 2017	null	null	null	RT @DropThe_Mic: In case u were wondering, after CHINA hacked OPM https://t.co/94qZVdtnXh WANNA KNOW AGREEMENT WE MADE? But #Russia… 
2162	johnreilly29	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…	Tue Apr 04 14:12:55 CDT 2017	null	null	null	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…
2163	Darkhosis	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 14:12:56 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
2164	AndreasBoos	@IvankaTrump #DonaldTrump #EqualPayDay https://t.co/gsHO88TKfO	Tue Apr 04 14:12:58 CDT 2017	null	null	null	@IvankaTrump #DonaldTrump #EqualPayDay https://t.co/gsHO88TKfO
2165	floydtire_sonny	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:13:01 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2166	LyonsMme	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 14:13:07 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
2167	ki7re	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 14:13:07 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
2168	GMDMartyr	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 14:13:07 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
2169	Neil198099	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 14:13:08 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
2170	tmbrown327	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…	Tue Apr 04 14:13:09 CDT 2017	null	null	null	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…
2171	andersonDrLJA	RT @JamesReedman1: The 3 muslim Brothers Arrested for #SpyingonTrump Were Hired by #Obama. #ComeyHearing https://t.co/SRwbK8Ea9t via @wordp…	Tue Apr 04 14:13:09 CDT 2017	null	null	null	RT @JamesReedman1: The 3 muslim Brothers Arrested for #SpyingonTrump Were Hired by #Obama. #ComeyHearing https://t.co/SRwbK8Ea9t via @wordp…
2172	Trends_Zone	Obama adviser Susan Rice denies targeting Trump team #obama #adviser #susan #denies #targeting #trump… https://t.co/keEzjRpIzq	Tue Apr 04 14:13:10 CDT 2017	null	null	null	Obama adviser Susan Rice denies targeting Trump team #obama #adviser #susan #denies #targeting #trump… https://t.co/keEzjRpIzq
2173	andrew_alcorta	What about Garland, you massive hypocrite? https://t.co/vCLJnXSwis	Tue Apr 04 14:13:11 CDT 2017	null	null	null	What about Garland, you massive hypocrite? https://t.co/vCLJnXSwis
2174	rebadh	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 14:13:12 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
2175	LisaSmi30580467	RT @DrGingerKinsey: @DJTJohnMiller @Stonewall_77 Amazing this type of statement would need 2B made. #Obama, who's supposedly 4 the… 	Tue Apr 04 14:13:16 CDT 2017	null	null	null	RT @DrGingerKinsey: @DJTJohnMiller @Stonewall_77 Amazing this type of statement would need 2B made. #Obama, who's supposedly 4 the… 
2176	MEPforTrump	RT @DropThe_Mic: In case u were wondering, after CHINA hacked OPM https://t.co/94qZVdtnXh WANNA KNOW AGREEMENT WE MADE? But #Russia… 	Tue Apr 04 14:13:17 CDT 2017	null	null	null	RT @DropThe_Mic: In case u were wondering, after CHINA hacked OPM https://t.co/94qZVdtnXh WANNA KNOW AGREEMENT WE MADE? But #Russia… 
2177	MOlekna	Heck Bill was impeached What did it do? Nixon's memory is tarnished for eternity & Bill is a savior🙄 @AlanaKStewart https://t.co/wmdGXK8FSe	Tue Apr 04 14:13:19 CDT 2017	null	null	null	Heck Bill was impeached What did it do? Nixon's memory is tarnished for eternity & Bill is a savior🙄 @AlanaKStewart https://t.co/wmdGXK8FSe
2178	usaf48	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 14:13:21 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
2179	Guiller72553034	RT @andersonDrLJA: Democrat #AdamSchiff's Interview SUPPORTS #TRUMP & #NUNES Claims of SURVEILLANCE! #OBAMA GUILTY OF #SpyingOnTrump!… 	Tue Apr 04 14:13:21 CDT 2017	null	null	null	RT @andersonDrLJA: Democrat #AdamSchiff's Interview SUPPORTS #TRUMP & #NUNES Claims of SURVEILLANCE! #OBAMA GUILTY OF #SpyingOnTrump!… 
2180	harmcgr01	RT @TheLibRepublic: .@JudicialWatch Has Obtained Nearly 700 Pages of #Obama #IRSScandal Documents https://t.co/ifx5NeKuHy	Tue Apr 04 14:13:21 CDT 2017	null	null	null	RT @TheLibRepublic: .@JudicialWatch Has Obtained Nearly 700 Pages of #Obama #IRSScandal Documents https://t.co/ifx5NeKuHy
2181	RenaissanceHag	#RICO #RiceGate #SusanRiceLied #Obama #SusanRice https://t.co/hADLv5m7G4	Tue Apr 04 14:13:23 CDT 2017	null	null	null	#RICO #RiceGate #SusanRiceLied #Obama #SusanRice https://t.co/hADLv5m7G4
2182	watchjbourne	Forget about #DonaldTrump and watch this new #movie : https://t.co/k9ozByz4I1 https://t.co/AMw7IwXfq9	Tue Apr 04 14:13:25 CDT 2017	null	null	null	Forget about #DonaldTrump and watch this new #movie : https://t.co/k9ozByz4I1 https://t.co/AMw7IwXfq9
2183	TXGOOGLE	Help clean it up with some ~ https://t.co/D4eRrLMUxB ~ https://t.co/U6Q9BeWXnB	Tue Apr 04 14:13:25 CDT 2017	null	null	null	Help clean it up with some ~ https://t.co/D4eRrLMUxB ~ https://t.co/U6Q9BeWXnB
2184	TXGOOGLE	Help clean it up with some ~ https://t.co/D4eRrLMUxB ~ https://t.co/VQIzSBAXJC	Tue Apr 04 14:13:26 CDT 2017	null	null	null	Help clean it up with some ~ https://t.co/D4eRrLMUxB ~ https://t.co/VQIzSBAXJC
2185	RobertA87413263	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 14:13:30 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
2186	RightWingTube	Bernie Sanders Delivers Rousing Speech on Senate Floor Denouncing Neil Gorsuch https://t.co/4vlPilWPcA #DonaldTrump	Tue Apr 04 14:13:33 CDT 2017	null	null	null	Bernie Sanders Delivers Rousing Speech on Senate Floor Denouncing Neil Gorsuch https://t.co/4vlPilWPcA #DonaldTrump
2187	bertha1957	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…	Tue Apr 04 14:13:34 CDT 2017	null	null	null	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…
2188	SplitElement	RT @JamesReedman1: The 3 muslim Brothers Arrested for #SpyingonTrump Were Hired by #Obama. #ComeyHearing https://t.co/SRwbK8Ea9t via @wordp…	Tue Apr 04 14:13:35 CDT 2017	null	null	null	RT @JamesReedman1: The 3 muslim Brothers Arrested for #SpyingonTrump Were Hired by #Obama. #ComeyHearing https://t.co/SRwbK8Ea9t via @wordp…
2189	KathyPica1	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 14:13:35 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
2190	MckissackMary	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 14:13:37 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
2191	Rainbows_Bridge	❗️ #Trump #ThanksObama OMG! :The #WhiteHouse Blamed A Suspected Major Gas Attack In Syria On #Obama’s “Weakness” ❗️ https://t.co/EDNrvztwrj	Tue Apr 04 14:13:38 CDT 2017	null	null	null	❗️ #Trump #ThanksObama OMG! :The #WhiteHouse Blamed A Suspected Major Gas Attack In Syria On #Obama’s “Weakness” ❗️ https://t.co/EDNrvztwrj
2192	jaw792	RT @EricBoehlert: the latest poll to find Trump's approval at 35%---which is worse than Obama ever had in 8 yrs. https://t.co/7RPHvnXe69	Tue Apr 04 14:13:38 CDT 2017	null	null	null	RT @EricBoehlert: the latest poll to find Trump's approval at 35%---which is worse than Obama ever had in 8 yrs. https://t.co/7RPHvnXe69
2193	DonaBeaulieu	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:13:42 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2194	cfmbetricky2	RT @andersonDrLJA: Democrat #AdamSchiff's Interview SUPPORTS #TRUMP & #NUNES Claims of SURVEILLANCE! #OBAMA GUILTY OF #SpyingOnTrump!… 	Tue Apr 04 14:13:43 CDT 2017	null	null	null	RT @andersonDrLJA: Democrat #AdamSchiff's Interview SUPPORTS #TRUMP & #NUNES Claims of SURVEILLANCE! #OBAMA GUILTY OF #SpyingOnTrump!… 
2195	KingHunter038	RT @DropThe_Mic: How bout 2014 #Russia hacked #Obama WH? Remember promise again W/ MORE OF OUR $ 2 make cybersecurity PRIORITY? 🖕LIE… 	Tue Apr 04 14:13:44 CDT 2017	null	null	null	RT @DropThe_Mic: How bout 2014 #Russia hacked #Obama WH? Remember promise again W/ MORE OF OUR $ 2 make cybersecurity PRIORITY? 🖕LIE… 
2196	SharryWilson	Excellent article! "The Unvarnished Cruelty of Donald Trump's GOP." https://t.co/kTkpMQpaEf #DonaldTrump #Trump #PresidentTrump	Tue Apr 04 14:13:46 CDT 2017	null	null	null	Excellent article! "The Unvarnished Cruelty of Donald Trump's GOP." https://t.co/kTkpMQpaEf #DonaldTrump #Trump #PresidentTrump
2197	19melnim62	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:13:47 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2198	tvogvo	RT @rafshmatko: T-#shirts “#DonaldTrump – #Akhenaton's Power Key” There is no #extracharge! Only the price #teespring 12.33! #Trump https:/…	Tue Apr 04 14:13:47 CDT 2017	null	null	null	RT @rafshmatko: T-#shirts “#DonaldTrump – #Akhenaton's Power Key” There is no #extracharge! Only the price #teespring 12.33! #Trump https:/…
2199	RuggerHuggerMom	😂😂 Says the Pot https://t.co/r2WxG4ZVlP	Tue Apr 04 14:13:49 CDT 2017	null	null	null	😂😂 Says the Pot https://t.co/r2WxG4ZVlP
2200	PUGathletics	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…	Tue Apr 04 14:13:51 CDT 2017	null	null	null	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…
2201	StepfordWasp	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:13:51 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2202	dfasciana7	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:13:53 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2203	Wildthang_EQ2	RT @JamesReedman1: The 3 muslim Brothers Arrested for #SpyingonTrump Were Hired by #Obama. #ComeyHearing https://t.co/SRwbK8Ea9t via @wordp…	Tue Apr 04 14:13:57 CDT 2017	null	null	null	RT @JamesReedman1: The 3 muslim Brothers Arrested for #SpyingonTrump Were Hired by #Obama. #ComeyHearing https://t.co/SRwbK8Ea9t via @wordp…
2204	JoshinSFU	Taibbi: #Putin Derangement Syndrome Arrives #USPoli #DonaldTrump #Trump #Russia #Russophobia #Russiagate https://t.co/v5cAIeJqXE	Tue Apr 04 14:13:59 CDT 2017	null	null	null	Taibbi: #Putin Derangement Syndrome Arrives #USPoli #DonaldTrump #Trump #Russia #Russophobia #Russiagate https://t.co/v5cAIeJqXE
2205	thewitchqueen98	That particular snowflake blocked me on here because he can dish it out, but he can't handle it thrown back at him. https://t.co/6TWc3v6HEZ	Tue Apr 04 14:14:03 CDT 2017	null	null	null	That particular snowflake blocked me on here because he can dish it out, but he can't handle it thrown back at him. https://t.co/6TWc3v6HEZ
2206	EdSieventen	RT @SenateMajLdr: When Pres #Obama nominated Sotomayor & Kagan, I worked to ensure they received ⬆️or 🔽 vote, not a filibuster. It's the ri…	Tue Apr 04 14:14:04 CDT 2017	null	null	null	RT @SenateMajLdr: When Pres #Obama nominated Sotomayor & Kagan, I worked to ensure they received ⬆️or 🔽 vote, not a filibuster. It's the ri…
2207	SJWpuncher	RT @JamesReedman1: The 3 muslim Brothers Arrested for #SpyingonTrump Were Hired by #Obama. #ComeyHearing https://t.co/SRwbK8Ea9t via @wordp…	Tue Apr 04 14:14:06 CDT 2017	null	null	null	RT @JamesReedman1: The 3 muslim Brothers Arrested for #SpyingonTrump Were Hired by #Obama. #ComeyHearing https://t.co/SRwbK8Ea9t via @wordp…
2208	DonaBeaulieu	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 14:14:08 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
2209	rtbeliever	RT @navy8r: Hahaha... this (literally) shows up on my TL with "Translate from Estonian" under it... https://t.co/5PXORLGIOz	Tue Apr 04 14:14:12 CDT 2017	null	null	null	RT @navy8r: Hahaha... this (literally) shows up on my TL with "Translate from Estonian" under it... https://t.co/5PXORLGIOz
2210	CarolCcbossy	RT @GeauxTrump2016: Carrying bucket of #Russian BS for #Obama getting 2 heavy even for @AdamSchiffCA to cover up lies. @POTUS focus on… 	Tue Apr 04 14:14:13 CDT 2017	null	null	null	RT @GeauxTrump2016: Carrying bucket of #Russian BS for #Obama getting 2 heavy even for @AdamSchiffCA to cover up lies. @POTUS focus on… 
2211	lisarpepper	.@realDonaldTrump @GOP more Winning https://t.co/NJT8dmtsjd	Tue Apr 04 14:14:15 CDT 2017	null	null	null	.@realDonaldTrump @GOP more Winning https://t.co/NJT8dmtsjd
2212	danasuemancuso	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:14:15 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2213	DanaeCol_	El presidente de Estados Unidos, #DonaldTrump, aseguró que la inmigración ilegal hacia ese país se redujo en 61%. https://t.co/jgejcTVqjZ	Tue Apr 04 14:14:16 CDT 2017	null	null	null	El presidente de Estados Unidos, #DonaldTrump, aseguró que la inmigración ilegal hacia ese país se redujo en 61%. https://t.co/jgejcTVqjZ
2214	CinderellaMan2	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:14:17 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2215	lapmapjap	I guess he's right, I'm president and you're not. #DonaldTrump https://t.co/lGISFAOO5x	Tue Apr 04 14:14:19 CDT 2017	null	PlaceJSONImpl{name='Los Angeles', streetAddress='null', countryCode='US', id='3b77caf94bfc81fe', country='United States', placeType='city', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', fullName='Los Angeles, CA', boundingBoxType='Polygon', boundingBoxCoordinates=[[Ltwitter4j.GeoLocation;@5b6eb97b], geometryType='null', geometryCoordinates=null, containedWithIn=null}	null	I guess he's right, I'm president and you're not. #DonaldTrump https://t.co/lGISFAOO5x
2216	Darpiano	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:14:20 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2217	george_ferino	RT @zebest4u: #Trump BEST #POTUS in50yrs LMAO Lyin #Obama #Dems #ObamaGate #MAGA #FoxNews #CNN #MSNBC #Zags #GOP #Tucker… 	Tue Apr 04 14:14:23 CDT 2017	null	null	null	RT @zebest4u: #Trump BEST #POTUS in50yrs LMAO Lyin #Obama #Dems #ObamaGate #MAGA #FoxNews #CNN #MSNBC #Zags #GOP #Tucker… 
2218	Pegtopm	RT @EricBoehlert: the latest poll to find Trump's approval at 35%---which is worse than Obama ever had in 8 yrs. https://t.co/7RPHvnXe69	Tue Apr 04 14:14:23 CDT 2017	null	null	null	RT @EricBoehlert: the latest poll to find Trump's approval at 35%---which is worse than Obama ever had in 8 yrs. https://t.co/7RPHvnXe69
2219	wiretappedLisa	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 14:14:25 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
2220	CODCareOfTheDon	🇺🇸 RETWEET 🇺🇸 https://t.co/xjYuo09aPN #Americafirst #DonaldTrump #TrumpTrain #MAGA #MakeAmericaGreatAgain… https://t.co/sS1Td4uZ9w	Tue Apr 04 14:14:27 CDT 2017	null	null	null	🇺🇸 RETWEET 🇺🇸 https://t.co/xjYuo09aPN #Americafirst #DonaldTrump #TrumpTrain #MAGA #MakeAmericaGreatAgain… https://t.co/sS1Td4uZ9w
2221	BiglyMassive	@starassassin136 @nia4_trump @SpecialKMB1969 I wouldnt be so sure of that Some1 is going to pay. Id settle for a ni… https://t.co/8weW52W6nV	Tue Apr 04 14:14:28 CDT 2017	null	null	null	@starassassin136 @nia4_trump @SpecialKMB1969 I wouldnt be so sure of that Some1 is going to pay. Id settle for a ni… https://t.co/8weW52W6nV
2222	NVMEV1	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 14:14:35 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
2223	GiglioMarilyn	RT @theoptionoracle: POLL: Should #Obama and #SusanRice be prosecuted for illegally spying on American citizens? @AppSame @HouseGOP #MAGA…	Tue Apr 04 14:14:36 CDT 2017	null	null	null	RT @theoptionoracle: POLL: Should #Obama and #SusanRice be prosecuted for illegally spying on American citizens? @AppSame @HouseGOP #MAGA…
2224	me_the_investor	So much for #Obama Beating #Trump- In Head to Head Polls #Trump wins https://t.co/UhNA2imEwV	Tue Apr 04 14:14:41 CDT 2017	null	null	null	So much for #Obama Beating #Trump- In Head to Head Polls #Trump wins https://t.co/UhNA2imEwV
2225	solomon99999000	Radical #Obama has helped Kill more #Christians than other president; the hidden radical #Muslim in the White house https://t.co/rS7MUWXxfu	Tue Apr 04 14:14:47 CDT 2017	null	null	null	Radical #Obama has helped Kill more #Christians than other president; the hidden radical #Muslim in the White house https://t.co/rS7MUWXxfu
2226	B_Chill75	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 14:14:49 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
2227	Etrep4	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 14:14:51 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
2228	vjf6122	RT @BrianPaulStuart: Had bombings occurred in the U.S. on #Obama's watch, #Trump would've cried, "Weak on terrorism!" He's TOO SCARED to… 	Tue Apr 04 14:15:00 CDT 2017	null	null	null	RT @BrianPaulStuart: Had bombings occurred in the U.S. on #Obama's watch, #Trump would've cried, "Weak on terrorism!" He's TOO SCARED to… 
2229	walkerdl	RT @EricBoehlert: the latest poll to find Trump's approval at 35%---which is worse than Obama ever had in 8 yrs. https://t.co/7RPHvnXe69	Tue Apr 04 14:15:02 CDT 2017	null	null	null	RT @EricBoehlert: the latest poll to find Trump's approval at 35%---which is worse than Obama ever had in 8 yrs. https://t.co/7RPHvnXe69
2230	gvdfun1	RT @JamesReedman1: The 3 muslim Brothers Arrested for #SpyingonTrump Were Hired by #Obama. #ComeyHearing https://t.co/SRwbK8Ea9t via @wordp…	Tue Apr 04 14:15:05 CDT 2017	null	null	null	RT @JamesReedman1: The 3 muslim Brothers Arrested for #SpyingonTrump Were Hired by #Obama. #ComeyHearing https://t.co/SRwbK8Ea9t via @wordp…
2231	mitchemgracie	RT @solomon99999000: Radical #Obama has helped Kill more #Christians than other president; the hidden radical #Muslim in the White house ht…	Tue Apr 04 14:15:05 CDT 2017	null	null	null	RT @solomon99999000: Radical #Obama has helped Kill more #Christians than other president; the hidden radical #Muslim in the White house ht…
