2	zcjkguasq321	too much miti kata in hawa	Tue Apr 04 13:03:20 CDT 2017	null	null	null	too much miti kata in hawa
22	PadroBevpadro	RT @PamelaKGilliam8: @mitchellvii Susan Rice is a liar, she lied about #Benghazi, she lies to protect her boss #Obama, no one believes a th…	Tue Apr 04 13:11:00 CDT 2017	null	null	null	RT @PamelaKGilliam8: @mitchellvii Susan Rice is a liar, she lied about #Benghazi, she lies to protect her boss #Obama, no one believes a th…
23	DrThomasPaul	RT @PLTC_PastLives: "Any ideas why #Obama skipped the country and is now in hiding on an island that does not allow extradition?"#Rice http…	Tue Apr 04 13:11:01 CDT 2017	null	null	null	RT @PLTC_PastLives: "Any ideas why #Obama skipped the country and is now in hiding on an island that does not allow extradition?"#Rice http…
24	katyatrendtrade	#Chinese have no respect for #Obama; treat him like a sewer rat on his latest trip to #China https://t.co/9uiZjfSrRE	Tue Apr 04 13:11:03 CDT 2017	null	null	null	#Chinese have no respect for #Obama; treat him like a sewer rat on his latest trip to #China https://t.co/9uiZjfSrRE
25	WDParks4	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 13:11:04 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
26	Politi_QUE	RT @AVD911: QPOLL: Trump 35% approval and most white folks disapprove #NotWinning .@realDonaldTrump https://t.co/BibaAbbyZ6	Tue Apr 04 13:11:05 CDT 2017	null	null	null	RT @AVD911: QPOLL: Trump 35% approval and most white folks disapprove #NotWinning .@realDonaldTrump https://t.co/BibaAbbyZ6
27	JustisDA	#SusanRice #ScandalFacts #doingwhatherbosscommanded #Obama #MAGA https://t.co/62RoSDHabD	Tue Apr 04 13:11:09 CDT 2017	null	null	null	#SusanRice #ScandalFacts #doingwhatherbosscommanded #Obama #MAGA https://t.co/62RoSDHabD
28	BevComstock	RT @keywestcliff2: #Obama knew and directed,or, dumber than we thought. @POTUS @realDonaldTrump was surveilled for political,treasonou… 	Tue Apr 04 13:11:10 CDT 2017	null	null	null	RT @keywestcliff2: #Obama knew and directed,or, dumber than we thought. @POTUS @realDonaldTrump was surveilled for political,treasonou… 
29	NancyVole	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 13:11:10 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
30	MurphyLillian	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 13:11:10 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
31	tsblomstrom	@CNN @washingtonpost @nytimes, you have ur Scandal with Susan Rice & #Obama now do ur damn jobs!	Tue Apr 04 13:11:10 CDT 2017	null	null	null	@CNN @washingtonpost @nytimes, you have ur Scandal with Susan Rice & #Obama now do ur damn jobs!
32	pinggirl10	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 13:11:11 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
33	Laneybaby004	RT @Allwaysrite55: #Obama " When did U know #Rice was involved with the #TrumpWireTap" "Not until I seen it on @FoxNews, Just like #Hillary…	Tue Apr 04 13:11:12 CDT 2017	null	null	null	RT @Allwaysrite55: #Obama " When did U know #Rice was involved with the #TrumpWireTap" "Not until I seen it on @FoxNews, Just like #Hillary…
34	beefman46	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 13:11:13 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
35	MObese2016	RT @theoptionoracle: POLL: Should #Obama and #SusanRice be prosecuted for illegally spying on American citizens? @AppSame @HouseGOP #MAGA…	Tue Apr 04 13:11:19 CDT 2017	null	null	null	RT @theoptionoracle: POLL: Should #Obama and #SusanRice be prosecuted for illegally spying on American citizens? @AppSame @HouseGOP #MAGA…
36	dac_mav	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 13:11:20 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
